fm_ar_id,to_ar_id,ptn_yyyy,ptn_mm,ptn_dd,ptn_hr,ptn_min
136,105,2016,8,2,15,51
125,122,2016,9,14,18,16
138,136,2016,10,22,11,57
127,135,2016,11,3,5,48
133,104,2016,9,3,16,14
110,142,2016,12,7,5,17
145,118,2016,7,26,7,1
144,127,2016,8,12,5,46
118,104,2016,6,26,21,13
120,115,2016,9,4,16,52
124,133,2016,6,15,7,7
140,134,2016,11,9,10,56
103,133,2016,12,9,8,26
147,132,2016,10,19,8,22
128,114,2016,6,27,20,17
132,108,2016,11,7,10,45
131,116,2016,12,30,18,34
134,138,2016,12,9,18,58
142,116,2016,12,10,10,20
144,120,2016,7,9,19,50
137,139,2016,7,3,14,47
134,110,2016,6,2,12,21
121,108,2016,9,24,18,55
143,104,2016,11,28,18,52
135,129,2016,12,29,22,52
110,150,2016,9,17,22,38
146,134,2016,9,17,16,44
109,109,2016,10,25,8,41
141,125,2016,6,2,12,34
121,141,2016,10,30,11,0
139,107,2016,12,10,20,54
141,147,2016,12,26,10,28
145,131,2016,7,12,7,10
134,102,2016,6,1,19,11
147,133,2016,9,18,5,57
139,119,2016,11,12,8,7
107,144,2016,6,29,5,5
141,112,2016,12,13,23,45
143,111,2016,11,4,8,59
143,115,2016,10,24,8,22
119,134,2016,6,28,13,6
105,125,2016,6,24,21,17
123,116,2016,10,18,21,54
126,148,2016,11,20,9,2
138,137,2016,7,7,19,9
141,131,2016,8,23,20,45
128,146,2016,10,18,17,48
119,121,2016,8,27,5,44
114,117,2016,9,11,23,39
103,143,2016,6,29,17,39
119,148,2016,12,24,10,36
145,130,2016,8,11,18,24
102,107,2016,11,10,9,40
141,116,2016,7,15,16,36
129,111,2016,10,7,10,11
126,146,2016,11,15,15,59
142,119,2016,9,23,9,54
130,113,2016,12,12,5,43
148,147,2016,10,27,10,42
136,138,2016,9,2,15,28
145,116,2016,6,21,10,59
115,142,2016,7,10,7,28
102,140,2016,6,10,8,29
105,107,2016,10,1,15,47
107,112,2016,12,26,13,51
143,125,2016,6,19,7,27
137,119,2016,9,1,20,12
128,146,2016,9,23,5,17
127,110,2016,7,14,14,36
108,124,2016,7,14,12,35
146,129,2016,6,13,12,57
129,135,2016,6,1,22,12
133,108,2016,11,15,9,14
128,150,2016,6,1,6,41
131,103,2016,9,8,21,41
101,134,2016,9,23,10,47
148,147,2016,7,30,23,23
132,124,2016,7,4,6,11
104,131,2016,12,16,21,32
127,104,2016,10,21,11,11
124,130,2016,6,30,5,54
147,112,2016,6,22,20,51
101,121,2016,8,28,19,14
150,123,2016,11,25,13,13
140,120,2016,8,22,14,14
148,127,2016,10,15,11,52
131,107,2016,7,4,19,18
141,124,2016,7,5,15,58
113,111,2016,11,12,14,36
124,127,2016,8,24,11,25
108,101,2016,10,22,23,47
137,107,2016,7,4,6,2
136,109,2016,10,14,7,56
118,150,2016,9,3,10,2
112,116,2016,7,29,7,57
143,132,2016,6,11,22,1
102,122,2016,10,22,18,54
130,104,2016,9,27,18,55
119,125,2016,9,18,9,13
131,108,2016,10,16,9,14
113,132,2016,8,1,16,49
112,128,2016,11,30,23,34
142,118,2016,6,1,14,16
107,125,2016,8,29,22,46
149,140,2016,11,12,7,33
141,109,2016,9,15,9,23
106,122,2016,9,3,14,0
126,118,2016,6,12,11,18
141,139,2016,6,10,14,49
126,138,2016,11,3,20,0
144,121,2016,10,9,16,22
117,118,2016,9,28,14,58
116,132,2016,7,19,10,21
121,115,2016,10,16,14,30
101,126,2016,6,13,11,13
115,129,2016,9,30,19,23
108,110,2016,10,6,10,58
112,102,2016,9,8,13,54
120,126,2016,7,19,6,50
129,147,2016,8,23,9,29
123,139,2016,8,1,23,54
121,103,2016,11,1,17,28
108,147,2016,9,18,13,19
117,114,2016,10,7,20,35
123,120,2016,7,15,14,31
138,133,2016,9,5,9,58
131,137,2016,11,12,14,23
134,123,2016,9,12,7,46
102,110,2016,10,24,19,48
142,113,2016,6,11,9,22
101,149,2016,6,15,17,12
150,102,2016,9,13,12,44
120,114,2016,12,26,23,41
134,115,2016,8,28,17,39
146,113,2016,7,29,11,23
106,114,2016,9,30,13,24
135,105,2016,6,30,19,21
133,112,2016,10,6,23,56
133,126,2016,11,8,16,57
128,129,2016,6,14,15,27
114,148,2016,6,28,20,23
108,123,2016,7,13,13,44
119,104,2016,9,11,16,37
129,103,2016,8,9,9,44
135,123,2016,12,17,5,35
135,125,2016,6,2,23,2
